session_id	query_text	serp_pos	url	is_click	total_view_time
348530	1354	0	402049	True	1850
348530	1354	1	468805	False	-1
348530	1354	2	488245	False	-1
348530	1354	3	517364	False	-1
348530	1354	4	459463	False	-1
348530	1354	5	238653	False	-1
348530	1354	6	445218	False	-1
348530	1354	7	386929	False	-1
348530	1354	8	551265	False	-1
348530	1354	9	476444	False	-1
254612	1354	0	402049	True	1868
254612	1354	1	468805	False	-1
254612	1354	2	488245	False	-1
254612	1354	3	517364	False	-1
254612	1354	4	459463	False	-1
254612	1354	5	238653	False	-1
254612	1354	6	445218	False	-1
254612	1354	7	386929	False	-1
254612	1354	8	551265	False	-1
254612	1354	9	476444	False	-1
250647	1354	0	402049	True	54
250647	1354	1	468805	False	-1
250647	1354	2	488245	False	-1
250647	1354	3	517364	False	-1
250647	1354	4	459463	False	-1
250647	1354	5	238653	False	-1
250647	1354	6	445218	False	-1
250647	1354	7	386929	False	-1
250647	1354	8	551265	False	-1
250647	1354	9	476444	False	-1
64843	1354	0	402049	True	11478
64843	1354	1	468805	False	-1
64843	1354	2	488245	False	-1
64843	1354	3	517364	False	-1
64843	1354	4	459463	False	-1
64843	1354	5	238653	False	-1
64843	1354	6	445218	False	-1
64843	1354	7	386929	False	-1
64843	1354	8	551265	False	-1
64843	1354	9	476444	False	-1
416343	1354	0	402049	True	11090
416343	1354	1	468805	False	-1
416343	1354	2	488245	False	-1
416343	1354	3	517364	False	-1
416343	1354	4	459463	False	-1
416343	1354	5	238653	False	-1
416343	1354	6	445218	False	-1
416343	1354	7	386929	False	-1
416343	1354	8	551265	False	-1
416343	1354	9	476444	False	-1
355918	1354	0	402049	True	6572
355918	1354	1	468805	False	-1
355918	1354	2	488245	False	-1
355918	1354	3	517364	False	-1
355918	1354	4	459463	False	-1
355918	1354	5	238653	False	-1
355918	1354	6	445218	False	-1
355918	1354	7	386929	False	-1
355918	1354	8	551265	False	-1
355918	1354	9	476444	False	-1
294408	1354	0	402049	True	228
294408	1354	1	468805	False	-1
294408	1354	2	488245	False	-1
294408	1354	3	517364	False	-1
294408	1354	4	459463	False	-1
294408	1354	5	238653	False	-1
294408	1354	6	445218	False	-1
294408	1354	7	386929	False	-1
294408	1354	8	551265	False	-1
294408	1354	9	476444	False	-1
423212	1354	0	402049	True	10812
423212	1354	1	468805	False	-1
423212	1354	2	488245	False	-1
423212	1354	3	517364	False	-1
423212	1354	4	459463	False	-1
423212	1354	5	238653	False	-1
423212	1354	6	445218	False	-1
423212	1354	7	386929	False	-1
423212	1354	8	551265	False	-1
